Title,Image,_287661cb_URL,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9
This 1150 Sq Ft Well Defined Flat Is Now Vacant To Sale In Bagmoniram Ward,https://images-cdn.bproperty.com/thumbnails/1184382-400x300.jpeg,https://www.bproperty.com/en/property/details-5160093.html,BDT,65 Lakh,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,150 sqft", Call, Email
"A Ready 1550 Sq. ft Apartment For Sale In Zakir Hossain Housing Society, South Khulshi",https://images-cdn.bproperty.com/thumbnails/1349237-400x300.jpeg,https://www.bproperty.com/en/property/details-3622686.html,BDT,87 Lakh,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,550 sqft", Call, Email
"In An Urban Location And Reasonable Price, This 1100 Sq. Ft Flat Is Available For Sale In 14 No. Lalkhan Bazaar Ward",https://images-cdn.bproperty.com/thumbnails/1466038-400x300.jpeg,https://www.bproperty.com/en/property/details-5335342.html,BDT,70.72 Lakh,"14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email
A Well-constructed 1266 Sq Ft Flat Is Ready For Sale In Double Mooring Close To Chotopole Masjid,https://images-cdn.bproperty.com/thumbnails/776223-400x300.jpeg,https://www.bproperty.com/en/property/details-1970662.html,BDT,66.95 Lakh,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,266 sqft", Call, Email
A Comfortable And Convenient 2250 Sq. Ft House Is Ready For Sale At Khulshi Hill R/A.,https://images-cdn.bproperty.com/thumbnails/1466916-400x300.jpeg,https://www.bproperty.com/en/property/details-5278156.html,BDT,2.9 Crore,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"2,250 sqft", Call, Email
Reasonable And Cozy Flat Of 1275 Sq Ft Is Up For Sale At Lal Khan Bazaar,https://images-cdn.bproperty.com/thumbnails/1338252-400x300.jpeg,https://www.bproperty.com/en/property/details-5341867.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
"Buy This Nice Flat Of 1275 Sq Ft, Which Is Located At Lal Khan Bazaar",https://images-cdn.bproperty.com/thumbnails/1338250-400x300.jpeg,https://www.bproperty.com/en/property/details-5341866.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
Buy This 1275 Sq Ft Flat To Make Your New Address.,,https://www.bproperty.com/en/property/details-5341864.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
A 1275 Sq Ft Residential Apartment For Sale At Lal Khan Bazaar,,https://www.bproperty.com/en/property/details-5341859.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
At Chaw Bazar 1572 Square Feet Residential Apartment For Sale Close To Jongi Shah Mosque,,https://www.bproperty.com/en/property/details-5345095.html,BDT,84.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,572 sqft", Call, Email
A 1572 Square Feet Residential Apartment For Sale At 16 No. Chawk Bazaar Ward.,,https://www.bproperty.com/en/property/details-5345089.html,BDT,84.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,572 sqft", Call, Email
Next To Jongi Shah Mosque At Chawk Bazaar This 1592 Square Feet Residential Apartment For Sale.,https://images-cdn.bproperty.com/thumbnails/1342831-400x300.jpeg,https://www.bproperty.com/en/property/details-5345097.html,BDT,85.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,592 sqft", Call, Email
This 1572 Square Feet Residential Apartment For Sale At 16 No. Chawk Bazaar Ward,https://images-cdn.bproperty.com/thumbnails/1342842-400x300.jpeg,https://www.bproperty.com/en/property/details-5345098.html,BDT,84.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,572 sqft", Call, Email
Visit This 1592 Square Feet Residential Apartment At 16 No. Chawk Bazaar Ward For Sale,https://images-cdn.bproperty.com/thumbnails/1342810-400x300.jpeg,https://www.bproperty.com/en/property/details-5345088.html,BDT,85.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,592 sqft", Call, Email
Look At This 1592 Square Feet Residential Apartment For Sale At 16 No. Chawk Bazaar Ward.,https://images-cdn.bproperty.com/thumbnails/1342809-400x300.jpeg,https://www.bproperty.com/en/property/details-5345082.html,BDT,85.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,5,"1,592 sqft", Call, Email
At Chaw Bazar 1592 Square Feet Residential Apartment For Sale,https://images-cdn.bproperty.com/thumbnails/1342811-400x300.jpeg,https://www.bproperty.com/en/property/details-5345076.html,BDT,85.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,592 sqft", Call, Email
1200 Sq Ft Flat Is Up For Sale In 9 No. North Pahartali Ward,https://images-cdn.bproperty.com/thumbnails/1340481-400x300.jpeg,https://www.bproperty.com/en/property/details-3576792.html,BDT,57 Lakh,"Akbarshah Railway Colony, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
1275 Sq Ft Residential Apartment For Sale At 14 No. Lalkhan Bazaar Ward,https://images-cdn.bproperty.com/thumbnails/1338253-400x300.jpeg,https://www.bproperty.com/en/property/details-5341868.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
Grab A 1275 Sq Ft Residence For Sale At Lal Khan Bazaar,,https://www.bproperty.com/en/property/details-5341865.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
This Very New Nice Flat Of 1275 Sq Ft Is Up For Sale In Lal Khan Bazaar,,https://www.bproperty.com/en/property/details-5341863.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
A Newly Constructed Apartment In Lal Khan Bazaar Is Available For Sale Which Is 1275 Sq Ft,,https://www.bproperty.com/en/property/details-5341856.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
Covering 1275 Sq Ft Space A Flat Is Up For Sale In 14 No. Lalkhan Bazaar Ward,,https://www.bproperty.com/en/property/details-5341855.html,BDT,73.94 Lakh,"Chanmari Road, Hill Side Residential Area, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,275 sqft", Call, Email
Buy This 1650 Sq Ft Apartment Ready For Sale In Khulshi,,https://www.bproperty.com/en/property/details-5154170.html,BDT,96.75 Lakh,"Road No 2, Yakub Future Park Housing, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
View This 1650 Sq Ft Apartment Ready For Sale In Khulshi,,https://www.bproperty.com/en/property/details-5154169.html,BDT,96.75 Lakh,"Road No 2, Yakub Future Park Housing, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
Plan to move in this 1650 SQ FT flat which is up for sale in Chandgaon Residential Area,,https://www.bproperty.com/en/property/details-4635419.html,BDT,90.75 Lakh,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
"2000 Sq. ft Luxurious Apartment Ready For Sale At Zakir Hossain Road, South Khulshi",,https://www.bproperty.com/en/property/details-3581472.html,BDT,1.5 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
Offering you 1650 SQ FT flat for sale in 4 No Chandgaon Ward,,https://www.bproperty.com/en/property/details-5208046.html,BDT,90.75 Lakh,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
2500 Square Feet Ready Flat For Sale In Panchlaish Residential Area,,https://www.bproperty.com/en/property/details-2026294.html,BDT,1.89 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,4,5,"2,500 sqft", Call, Email
1425 Sq Ft Beautiful Apartment Is Available For Sale In South Khulshi,,https://www.bproperty.com/en/property/details-3817806.html,BDT,80.53 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,2,3,"1,425 sqft", Call, Email
Offering You A Nice Flat For Sale In South Khulshi Near Port City International University,,https://www.bproperty.com/en/property/details-1907759.html,BDT,79.2 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
A Convenient 1450 Sq Ft Residential Flat Is Prepared To Be Sold At North Forida Para,,https://www.bproperty.com/en/property/details-5164522.html,BDT,75 Lakh,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,450 sqft", Call, Email
A Proper 1600 Sq Ft Residence Is Prepared To Be Sold At Khulshi,,https://www.bproperty.com/en/property/details-3621492.html,BDT,1 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email
1200 Sq. Ft. Flat Is up For Sale At Krishnochura R/A Nearby Chattogram Polytechnic Institute,,https://www.bproperty.com/en/property/details-1892096.html,BDT,68 Lakh,"Krishnochura Residential Area, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,2,3,"1,200 sqft", Call, Email
Properly Designed This 1300 Square Feet Apartment Is Now Up For Sale In West Khulshi R/A.,,https://www.bproperty.com/en/property/details-5014758.html,BDT,98 Lakh,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email
Nice 1650 Sq Ft Flat Is Available For Sale In Khulshi,,https://www.bproperty.com/en/property/details-5154168.html,BDT,96.75 Lakh,"Road No 2, Yakub Future Park Housing, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
"In The Location Of Chawk Bazar, 3-Bedroom Residence Is Up For Sale.",,https://www.bproperty.com/en/property/details-3529150.html,BDT,1.04 Crore,"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,480 sqft", Call, Email
Obtain This Well Fitted Flat Of 1632 Sq Ft Which Is Up For Sale In Firingee Bazaar,,https://www.bproperty.com/en/property/details-3757073.html,BDT,91.6 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,632 sqft", Call, Email
"Offering You 1210 Sq Ft Nice Apartment For Sale In 9 No. North Pahartali Ward, Chattogram",https://images-cdn.bproperty.com/thumbnails/1302133-400x300.jpeg,https://www.bproperty.com/en/property/details-3239474.html,BDT,70 Lakh,"Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,210 sqft", Call, Email
"1185 Sq Ft Residential Place For Sale In K B Abdus Sattar Road, Rahmatganj, Jamal Khan",https://images-cdn.bproperty.com/thumbnails/1184679-400x300.jpeg,https://www.bproperty.com/en/property/details-5150929.html,BDT,82.03 Lakh,"Rahmatganj, Jamal Khan, Chattogram",Apartment,2,2,"1,185 sqft", Call, Email
Your Desirable Cozy Flat Of 1632 Sq Ft Is Available For Sale In Firingee Bazaar,https://images-cdn.bproperty.com/thumbnails/1163299-400x300.jpeg,https://www.bproperty.com/en/property/details-3757062.html,BDT,91.6 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,632 sqft", Call, Email
"Buy This Nice Flat Of 1632 Sq Ft, Which Is Located At Firingee Bazaar",https://images-cdn.bproperty.com/thumbnails/1163085-400x300.jpeg,https://www.bproperty.com/en/property/details-3757068.html,BDT,91.6 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,632 sqft", Call, Email
Grab This Lovely Flat Of 1632 Sq Ft Is Up For Sale In Firingee Bazaar Before It's Sold Out,https://images-cdn.bproperty.com/thumbnails/1165003-400x300.jpeg,https://www.bproperty.com/en/property/details-3757080.html,BDT,91.6 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,632 sqft", Call, Email
Buy This 1186 Sq Ft Luxurious Apartment At Lal Khan Bazaar,https://images-cdn.bproperty.com/thumbnails/1136323-400x300.jpeg,https://www.bproperty.com/en/property/details-3120955.html,BDT,63 Lakh,"Kusumbag Residential Area, Khulshi 1, Uttar Lalkhan, Chattogram",Apartment,3,3,"1,186 sqft", Call, Email
1670 SQ FT flat is now Vacant for sale in Jamal Khan,https://images-cdn.bproperty.com/thumbnails/1224766-400x300.jpeg,https://www.bproperty.com/en/property/details-5202596.html,BDT,1.36 Crore,"Paul Hill, Jamal Khan, Chattogram",Apartment,3,3,"1,670 sqft", Call, Email
Grab This 1050 Sq. Ft Apartment Up For Sale At Khulshi Garden View Housing Society .,https://images-cdn.bproperty.com/thumbnails/1285596-400x300.jpeg,https://www.bproperty.com/en/property/details-5180917.html,BDT,46 Lakh,"Khulshi Garden View Housing Society, 9 No. North Pahartali Ward, Chattogram",Apartment,2,2,"1,050 sqft", Call, Email
"3 Katha Residential Plots For Sale In Mohammad Nagar, Bayazid",https://images-cdn.bproperty.com/thumbnails/1184188-400x300.jpeg,https://www.bproperty.com/en/property/details-5162522.html,BDT,1.4 Crore,"Bayazid, Chattogram",Plot,"2,201 sqft",,, Call, Email
Grab This 1167 Sq Ft Apartment For Sale At Jamal Khan,https://images-cdn.bproperty.com/thumbnails/1183308-400x300.jpeg,https://www.bproperty.com/en/property/details-3148044.html,BDT,80.86 Lakh,"Rahmatganj, Jamal Khan, Chattogram",Apartment,2,2,"1,167 sqft", Call, Email
"At Bayazid, A Nice And Spacious 1700 Sq Ft Residential Flat Is Up For Sale",https://images-cdn.bproperty.com/thumbnails/1157674-400x300.jpeg,https://www.bproperty.com/en/property/details-4937224.html,BDT,83.84 Lakh,"Bayazid, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
Well Designed 14740 Sq Ft Residential Building Is There For Sale At West Khulshi R/a,https://images-cdn.bproperty.com/thumbnails/1103618-400x300.jpeg,https://www.bproperty.com/en/property/details-5014538.html,BDT,9.45 Crore,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Building,33,10,"14,740 sqft", Call, Email
This Nice Flat Of 2500 Sq Ft In Nasirabad With A Convenient Price Is Up For Sale.,https://images-cdn.bproperty.com/thumbnails/1504788-400x300.jpeg,https://www.bproperty.com/en/property/details-3195066.html,BDT,2.25 Crore,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"2,500 sqft", Call, Email
Well Organized Flat Of 1400 Sq Ft Is Now Up For Sale In West Khulshi,https://images-cdn.bproperty.com/thumbnails/1111323-400x300.jpeg,https://www.bproperty.com/en/property/details-5012769.html,BDT,82 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
At Chandgong R/A 1650 Sq. ft Apartment For Sale,https://images-cdn.bproperty.com/thumbnails/1236511-400x300.jpeg,https://www.bproperty.com/en/property/details-4635417.html,BDT,90.75 Lakh,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
"1162 Sq Ft Flat Can Be Found In Patharghata For Sale, Near Pubali Bank Limited",https://images-cdn.bproperty.com/thumbnails/1068329-400x300.jpeg,https://www.bproperty.com/en/property/details-1817244.html,BDT,60.5 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,162 sqft", Call, Email
"Check This Comfortable And Nice Apartment For Sale At Patharghata, Bakalia Nearby Pubali Bank Limited.",https://images-cdn.bproperty.com/thumbnails/1068446-400x300.jpeg,https://www.bproperty.com/en/property/details-1794955.html,BDT,60.5 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,162 sqft", Call, Email
"In 7 No. West Sholoshohor Ward, 1200 Square Feet Ready Apartment Is Up For Sale",https://images-cdn.bproperty.com/thumbnails/1056351-400x300.jpeg,https://www.bproperty.com/en/property/details-4981483.html,BDT,48 Lakh,"7 No. West Sholoshohor Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
"In Bayazid, A Medium Sized Apartment Of 1700 Sq Ft Is Ready For Sale.",https://images-cdn.bproperty.com/thumbnails/1240729-400x300.jpeg,https://www.bproperty.com/en/property/details-4937221.html,BDT,83.84 Lakh,"Bayazid, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
Affordable And Wonderful Flat Up For Sale In East Nasirabad,,https://www.bproperty.com/en/property/details-3199878.html,BDT,42 Lakh,"East Nasirabad, Chattogram",Apartment,2,2,825 sqft, Call, Email
"Perfect For A Family Home, This Apartment Of 1789 Sq Ft Is Up For Sale In Khulshi",,https://www.bproperty.com/en/property/details-4930791.html,BDT,86 Lakh,"Khulshi Green Housing Society, Khulshi, Chattogram",Apartment,3,3,"1,789 sqft", Call, Email
"Worthy 1987 SQ FT residence is for sale at Chattogram, Jamal Khan",,https://www.bproperty.com/en/property/details-5202604.html,BDT,1.68 Crore,"Paul Hill, Jamal Khan, Chattogram",Apartment,4,3,"1,987 sqft", Call, Email
Worthy 1580 Sq Ft Residential Apartment Is For Sale At Bayazid,,https://www.bproperty.com/en/property/details-2081007.html,BDT,78.65 Lakh,"Bayazid, Chattogram",Apartment,3,3,"1,580 sqft", Call, Email
"An Apartment Of 3 Bedroom Up For Sale Is Located At West Khulshi, Near To National Polytechnic College.",https://images-cdn.bproperty.com/thumbnails/181776-400x300.jpeg,https://www.bproperty.com/en/property/details-1910053.html,BDT,1.1 Crore,"Krishnochura Residential Area, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,4,4,"2,000 sqft", Call, Email
Visit This Apartment For Sale In Lal Khan Bazaar Near Masjid Vittik Shishu O Ganashikhha Karjokrom.,https://images-cdn.bproperty.com/thumbnails/976299-400x300.jpeg,https://www.bproperty.com/en/property/details-1949861.html,BDT,85 Lakh,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
We Have A 1210 Sq. Ft Flat For Sale In The Location Of Patharghata,https://images-cdn.bproperty.com/thumbnails/990287-400x300.jpeg,https://www.bproperty.com/en/property/details-2060217.html,BDT,75 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,210 sqft", Call, Email
A Nice And Medium-Sized 1750 Sq Ft Residential Apartment Is Available For Sale At Lal Khan Bazaar,https://images-cdn.bproperty.com/thumbnails/925675-400x300.jpeg,https://www.bproperty.com/en/property/details-2059300.html,BDT,1.13 Crore,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,4,"1,750 sqft", Call, Email
Completely Suitable And Ready Flat Of 1350 Sq Ft Is Up For Sale In New Monsurabad,https://images-cdn.bproperty.com/thumbnails/915962-400x300.jpeg,https://www.bproperty.com/en/property/details-2057250.html,BDT,68.31 Lakh,"10 No. North Kattali Ward, Chattogram",Apartment,3,3,"1,350 sqft", Call, Email
800 Sq Ft Residential Apartment Is Up For Sale At Katalganj Residential Area,https://images-cdn.bproperty.com/thumbnails/960274-400x300.jpeg,https://www.bproperty.com/en/property/details-2061206.html,BDT,34 Lakh,"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,2,2,800 sqft, Call, Email
"A Nicely Planned 1050 Sq Ft Flat Is Up For Sale In Ashkar Dighir Par, Jamal Khan",https://images-cdn.bproperty.com/thumbnails/922162-400x300.jpeg,https://www.bproperty.com/en/property/details-2059475.html,BDT,70 Lakh,"Ashkar Dighir Par, Jamal Khan, Chattogram",Apartment,3,3,"1,050 sqft", Call, Email
1530 Square Feet Decent Apartment Is For Sale In The Location Of Muradpur,https://images-cdn.bproperty.com/thumbnails/887943-400x300.jpeg,https://www.bproperty.com/en/property/details-2050411.html,BDT,71.5 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,530 sqft", Call, Email
Affordable And Wonderful 1420 Sq. Ft Flat Up For Sale In Muradpur,https://images-cdn.bproperty.com/thumbnails/944169-400x300.jpeg,https://www.bproperty.com/en/property/details-2050417.html,BDT,71 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,420 sqft", Call, Email
This 1558 Sq Ft Brand New Flat Is Now Vacant for Sale In South Khulshi,https://images-cdn.bproperty.com/thumbnails/869368-400x300.jpeg,https://www.bproperty.com/en/property/details-2043698.html,BDT,75 Lakh,"Sardar Bahadur Nagar, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,558 sqft", Call, Email
1450 SQ FT Apartment Ready For Sale At Bakalia Close To Moor Ali Baper Jame Masjid Bazar,https://images-cdn.bproperty.com/thumbnails/926341-400x300.jpeg,https://www.bproperty.com/en/property/details-2059393.html,BDT,47.85 Lakh,"18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,3,3,"1,450 sqft", Call, Email
This 1420 Sq. ft Brand New Flat In Muradpur With A Convenient Price Is Up For Sale,https://images-cdn.bproperty.com/thumbnails/944135-400x300.jpeg,https://www.bproperty.com/en/property/details-2050410.html,BDT,71 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,420 sqft", Call, Email
1530 Sq. ft Ready Apartment Is For Sale In The Location Of Muradpur .,,https://www.bproperty.com/en/property/details-2050418.html,BDT,76.5 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,530 sqft", Call, Email
"Available In Muradpur, A 1630 Sq. Ft Apartment For Sale .",,https://www.bproperty.com/en/property/details-2050414.html,BDT,81.5 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,630 sqft", Call, Email
Nice 1250 Sq Ft Flat Is Available For Sale In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-2033909.html,BDT,56 Lakh,"Akbarshah Railway Colony, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email
Move In And Inhabit This Properly Constructed 1572 Sq Ft Flat For Sale In North Kattali,,https://www.bproperty.com/en/property/details-2027003.html,BDT,64 Lakh,"City Gate, 10 No. North Kattali Ward, Chattogram",Apartment,3,3,"1,572 sqft", Call, Email
In The Location Of Panchlaish Residential Area There Is 4-Bedroom - 3350 Square Feet Brand New Apartment Up For Sale,https://images-cdn.bproperty.com/thumbnails/857628-400x300.jpeg,https://www.bproperty.com/en/property/details-2025893.html,BDT,3 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,4,5,"3,350 sqft", Call, Email
2987 Square Feet Brand New Apartment Up For Sale In Panchlaish Residential Area,https://images-cdn.bproperty.com/thumbnails/847814-400x300.jpeg,https://www.bproperty.com/en/property/details-2025891.html,BDT,2.7 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,4,5,"2,987 sqft", Call, Email
1650 SQ FT flat is now for sale in Khulshi,https://images-cdn.bproperty.com/thumbnails/1179312-400x300.jpeg,https://www.bproperty.com/en/property/details-5154171.html,BDT,96.75 Lakh,"Road No 2, Yakub Future Park Housing, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
"Grab The Deal Of Buying This 1350 Sq Ft Apartment, Available For Sale At Chawk Bazar",https://images-cdn.bproperty.com/thumbnails/1100387-400x300.jpeg,https://www.bproperty.com/en/property/details-3316941.html,BDT,80 Lakh,"Joy Nagar, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,350 sqft", Call, Email
A Convenient 1459 Sq Ft Residential Flat Is Prepared To Be Sold At Chadra Nagar Nearby Marine City Medical College & Hospital,https://images-cdn.bproperty.com/thumbnails/794642-400x300.jpeg,https://www.bproperty.com/en/property/details-2018027.html,BDT,62 Lakh,"Chadra Nagar, Bayazid, Chattogram",Apartment,3,3,"1,459 sqft", Call, Email
