Title,_287661cb_URL,Image,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9,Image3
Introduce Yourself To A Rental Apartment Located At South Khulsi Near To Port City University,https://www.bproperty.com/en/property/details-1722067.html,https://images-cdn.bproperty.com/thumbnails/39772-400x300.jpeg,BDT,25 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,4,"1,500 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Visit This Apartment For Rent In Bakalia Near Abdus Subahan Market,https://www.bproperty.com/en/property/details-1996435.html,https://images-cdn.bproperty.com/thumbnails/1412721-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Flat for rent in Khulshi near Dutch-Bangla Bank atm,https://www.bproperty.com/en/property/details-1900516.html,https://images-cdn.bproperty.com/thumbnails/1434891-400x300.jpeg,BDT,1.14 Lakh,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"3,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
An Apartment Of 1600 Sq Ft Is Waiting For Rent At Nandan Kanan,https://www.bproperty.com/en/property/details-5361718.html,https://images-cdn.bproperty.com/thumbnails/1381518-400x300.jpeg,BDT,25 Thousand,"Tin Puler Matha, Nandan Kanan, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Properly Constructed Flat For Rent In Khulshi 1, Near Ispahani Public School And College",https://www.bproperty.com/en/property/details-1991045.html,https://images-cdn.bproperty.com/thumbnails/1195735-400x300.jpeg,BDT,18 Thousand,"Shah Garibullah Housing Society, Khulshi 1, Uttar Lalkhan, Chattogram",Apartment,3,2,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Your Desired 1600 Square Feet Home In 9 No. North Pahartali Ward, Foys Lake Is Now Vacant For Rent",https://www.bproperty.com/en/property/details-3802973.html,https://images-cdn.bproperty.com/thumbnails/1388124-400x300.jpeg,BDT,25 Thousand,"9 No. North Pahartali Ward, Chattogram",Apartment,4,3,"1,600 sqft", Call, Email,
Flat For Rent In North Khulshi Close To Khulshi Jame Masjid,https://www.bproperty.com/en/property/details-1900882.html,,BDT,30 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,
"Comfortable, Convenient And Well-constructed 900 Sq. Ft Flat Is Ready For Rent Nearby Hajirpool GPS Cyclone Shelter",https://www.bproperty.com/en/property/details-2055484.html,,BDT,9 Thousand,"19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft, Call, Email,
Live the contemporary lifestyle you crave! A lovely apartment which is covering an area of 1500 Sq. Ft. is up for rent at Khulshi near to Radiant School and College,https://www.bproperty.com/en/property/details-1821883.html,,BDT,30 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email,
Properly Designed This 1400 Sq Ft Flat Is Now Up For Rent In Lal Khan Bazaar,https://www.bproperty.com/en/property/details-4174059.html,,BDT,18 Thousand,"14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email,
1600 SQ FT Flat For Rent In Nandan Kanan,https://www.bproperty.com/en/property/details-5361716.html,,BDT,25 Thousand,"Tin Puler Matha, Nandan Kanan, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,
Experience The Ultimate Luxury Lifestyle Here In This North Khulshi Home Is Up To Rent,https://www.bproperty.com/en/property/details-3305600.html,,BDT,80 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,570 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Attractively Constructed Apartment For Rent At Nasirabad Housing Society Nearby Sunshine Grammar School & College,https://www.bproperty.com/en/property/details-1812045.html,https://images-cdn.bproperty.com/thumbnails/762885-400x300.jpeg,BDT,30 Thousand,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,3,"1,800 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A Nicely Planned 800 Sq Ft Flat Is Up For Rent In Bakalia,https://www.bproperty.com/en/property/details-2066139.html,https://images-cdn.bproperty.com/thumbnails/945771-400x300.jpeg,BDT,8.5 Thousand,"6 No East Sholoshohor Ward, Bakalia, Chattogram",Apartment,2,2,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
See This Apartment Is Up For Rent At Khulshi Near Nasirabad Shahi Jame Masjid,https://www.bproperty.com/en/property/details-1992997.html,https://images-cdn.bproperty.com/thumbnails/18311-400x300.jpeg,BDT,35 Thousand,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,4,4,"2,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
2000 Sq Ft Flat For Rent In Nasirabad Near Khulshi Police Station,https://www.bproperty.com/en/property/details-1993000.html,https://images-cdn.bproperty.com/thumbnails/18319-400x300.jpeg,BDT,35 Thousand,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,4,4,"2,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A Beautiful 1600 Sq Ft Apartment Is Now Vacant For Rent At Nandan Kanan,https://www.bproperty.com/en/property/details-5361714.html,https://images-cdn.bproperty.com/thumbnails/1390082-400x300.jpeg,BDT,25 Thousand,"Tin Puler Matha, Nandan Kanan, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Get This Cozy 1200 Sq Ft Flat For Rent In Bayazid,https://www.bproperty.com/en/property/details-4239962.html,https://images-cdn.bproperty.com/thumbnails/1364195-400x300.jpeg,BDT,14 Thousand,"Bayazid, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"1350  Sq. ft Luxurious full furnished Apartment For Rent In South Khulshi, Near Khulshi Police Station",https://www.bproperty.com/en/property/details-1918482.html,https://images-cdn.bproperty.com/thumbnails/864068-400x300.jpeg,BDT,70 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,350 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
1750 Sq Ft Flat Near Khulshi Jame Masjid For Rent In Khulshi,https://www.bproperty.com/en/property/details-1859814.html,https://images-cdn.bproperty.com/thumbnails/1104893-400x300.jpeg,BDT,35 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,750 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Grab This Flat Up For Rent In Kalamia Bazar Near Standard Bank Bangladesh Ltd.,https://www.bproperty.com/en/property/details-1996433.html,https://images-cdn.bproperty.com/thumbnails/1412592-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Now You Can Afford To Dwell Well, Check This 960 Sq. Ft Apartment Which Is Vacant For Rent In Dewan Bazar",https://www.bproperty.com/en/property/details-5172718.html,https://images-cdn.bproperty.com/thumbnails/1366897-400x300.jpeg,BDT,22 Thousand,"Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,960 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
950 Sq Ft Organized Apartment For Rent In Chandgaon Residential Area,https://www.bproperty.com/en/property/details-5340016.html,https://images-cdn.bproperty.com/thumbnails/1354425-400x300.jpeg,BDT,12 Thousand,"B-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Ready 1450 Sq. Ft flat is now for rent in Madarbari near to DBBL ATM,https://www.bproperty.com/en/property/details-1997490.html,https://images-cdn.bproperty.com/thumbnails/776366-400x300.jpeg,BDT,30 Thousand,Chattogram,Apartment,3,3,"1,450 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
An Apartment Which Is Up For Rent At Bakalia Near To Abdus Subahan Market,https://www.bproperty.com/en/property/details-1996434.html,https://images-cdn.bproperty.com/thumbnails/1411252-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"When Location And Convenience Is Your Priority This 3-Bedroom Flat Is For You In Zakir Hossain Housing Society, Khulshi",https://www.bproperty.com/en/property/details-3622735.html,https://images-cdn.bproperty.com/thumbnails/1392358-400x300.jpeg,BDT,30 Thousand,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A Ready 1450 Sq Ft Flat Is Available For Rent At West Madarbari Nearby West Madarbari City Corporation Girls' High School,https://www.bproperty.com/en/property/details-1997617.html,https://images-cdn.bproperty.com/thumbnails/11888-400x300.jpeg,BDT,20 Thousand,Chattogram,Apartment,3,3,"1,450 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Nice 1100 Square Feet Property Of Living Is For Rent In Khulshi.,https://www.bproperty.com/en/property/details-3606717.html,https://images-cdn.bproperty.com/thumbnails/1138946-400x300.jpeg,BDT,10 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,2,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Properly Designed This 2650 Square Feet Apartment Is Now Up For Rent In Khulshi Hill R/A .,https://www.bproperty.com/en/property/details-4577863.html,https://images-cdn.bproperty.com/thumbnails/1416273-400x300.jpeg,BDT,70 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,650 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Looking For A Peaceful Residence To Rent In South Khulshi, Check This One",https://www.bproperty.com/en/property/details-4953292.html,https://images-cdn.bproperty.com/thumbnails/1364491-400x300.jpeg,BDT,35 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"2,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Offering You 800 Sq Ft Apartment For Rent In 32 No. Andarkilla Ward, Chattogram",https://www.bproperty.com/en/property/details-5364558.html,https://images-cdn.bproperty.com/thumbnails/1372660-400x300.jpeg,BDT,14 Thousand,"32 No. Andarkilla Ward, Chattogram",Apartment,2,1,800 sqft, Call, Email,
A Convenient 1200 Sq Ft Residential Flat Is Prepared To Be Rented At Hazari Lane,https://www.bproperty.com/en/property/details-5177553.html,,BDT,26 Thousand,"32 No. Andarkilla Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,
Check This Apartment Up For Rent In Khulshi Nearby Women College.,https://www.bproperty.com/en/property/details-1978830.html,,BDT,25 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,4,"2,000 sqft", Call, Email,
Flat for rent in Sholokbahar near Doctors Hospital,https://www.bproperty.com/en/property/details-1904998.html,,BDT,30 Thousand,"Sholokbahar, Chattogram",Apartment,3,3,"1,900 sqft", Call, Email,
See This Apartment Which Is Up For Rent In Double Mooring Near Social Islami Bank Limited,https://www.bproperty.com/en/property/details-1898564.html,,BDT,15 Thousand,"Double Mooring, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,
An Apartment Is Up For Rent In North Khulshi Near Jamuna Bank Limited,https://www.bproperty.com/en/property/details-1981208.html,,BDT,45 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
900 Sq Ft Apartment Is Available To Rent In 32 No. Andarkilla Ward,https://www.bproperty.com/en/property/details-3411586.html,https://images-cdn.bproperty.com/thumbnails/1366431-400x300.jpeg,BDT,20 Thousand,"32 No. Andarkilla Ward, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Check This 1450 Sq. Ft Apartment Which Is Up To Rent At West Madarbari Near West Madarbari City Corporation Girls' High School.,https://www.bproperty.com/en/property/details-1997648.html,https://images-cdn.bproperty.com/thumbnails/10733-400x300.jpeg,BDT,20 Thousand,Chattogram,Apartment,3,3,"1,450 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
This Well Designed Flat Of 1400 Sq Ft Which Is Up For Rent In South Khulshi,https://www.bproperty.com/en/property/details-4635520.html,https://images-cdn.bproperty.com/thumbnails/1159729-400x300.jpeg,BDT,30 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
At Khulshi 1300 Square feet flat is available to Rent close to Radiant School and College,https://www.bproperty.com/en/property/details-1995430.html,https://images-cdn.bproperty.com/thumbnails/78196-400x300.jpeg,BDT,22 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
At North Forida Para A Nice 3-Bedroom Flat Up For Rent,https://www.bproperty.com/en/property/details-5330495.html,https://images-cdn.bproperty.com/thumbnails/1399258-400x300.jpeg,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Lovely 1100 Sq Ft Home Is Available To Rent In Bayazid,https://www.bproperty.com/en/property/details-5324268.html,https://images-cdn.bproperty.com/thumbnails/1425761-400x300.jpeg,BDT,17.5 Thousand,"Paharika R/A, Raufabad Residential Area, Bayazid, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
With An Awesome Environment A 1400 Sq Ft Flat Is Vacant For Rent In South Khulshi,https://www.bproperty.com/en/property/details-4634138.html,https://images-cdn.bproperty.com/thumbnails/1162461-400x300.jpeg,BDT,25 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
For Rental Purpose Nice 700 Sq Ft Flat Is Now Up To Rent In Mohara,https://www.bproperty.com/en/property/details-5357712.html,https://images-cdn.bproperty.com/thumbnails/1359436-400x300.jpeg,BDT,7 Thousand,"Mohara, 4 No Chandgaon Ward, Chattogram",Apartment,1,1,700 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A 850 Sq Ft Apartment Is Waiting For Rent At Muradpur Nearby Sunshine Grammar School & College,https://www.bproperty.com/en/property/details-1836763.html,https://images-cdn.bproperty.com/thumbnails/1110087-400x300.jpeg,BDT,14.2 Thousand,"Muradpur, Chattogram",Apartment,2,2,850 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Now You Can Afford To Dwell Well, Check This 3-Bedroom Apartment Which Is Vacant For Rent In North Forida Para",https://www.bproperty.com/en/property/details-5330496.html,https://images-cdn.bproperty.com/thumbnails/1399480-400x300.jpeg,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,2,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
950 Sq Ft Apartment For Rent In 18 No. East Bakalia Ward,https://www.bproperty.com/en/property/details-5134648.html,https://images-cdn.bproperty.com/thumbnails/1389529-400x300.jpeg,BDT,13 Thousand,"Block F, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Uniquely Designed 1600 Sq Ft Flat Is Up For Rent In South Khulshi,https://www.bproperty.com/en/property/details-4634136.html,https://images-cdn.bproperty.com/thumbnails/1162451-400x300.jpeg,BDT,25 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Your Desired 4 Bedroom Apartment In North Khulshi Is Now Available For Rent,https://www.bproperty.com/en/property/details-4993199.html,https://images-cdn.bproperty.com/thumbnails/1367565-400x300.jpeg,BDT,60 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
For Rental purpose well-constructed 1100 SQ FT flat is now up to Rent in Bayazid,https://www.bproperty.com/en/property/details-3651804.html,https://images-cdn.bproperty.com/thumbnails/1192652-400x300.jpeg,BDT,15 Thousand,"Block C, Hill View R/A, Bayazid, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Meet With A Fascinating 1450 Sq Ft Ready Flat For Rent In South Khulsi Near To Bar Awlia Jame Masjid,https://www.bproperty.com/en/property/details-1764964.html,https://images-cdn.bproperty.com/thumbnails/1169012-400x300.jpeg,BDT,23 Thousand,"Khulshi, Chattogram",Apartment,3,3,"1,450 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
For rent 1254 Square feet flat is available in Double Mooring near to Halishahar Godown,https://www.bproperty.com/en/property/details-1729307.html,https://images-cdn.bproperty.com/thumbnails/57296-400x300.jpeg,BDT,16 Thousand,"South Agrabad, Double Mooring, Chattogram",Apartment,3,3,"1,254 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A 7000 Sq Ft Residential Duplex For Rent In East Nasirabad,https://www.bproperty.com/en/property/details-3939577.html,https://images-cdn.bproperty.com/thumbnails/1171429-400x300.jpeg,BDT,3 Lakh,"Muradpur, Chattogram",Duplex,6,6,"7,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"Be The Occupant Of This 800 Sq Ft Living Property Up For Rent At Khaza Road, 4 No Chandgaon Ward.",https://www.bproperty.com/en/property/details-5143493.html,https://images-cdn.bproperty.com/thumbnails/1173920-400x300.jpeg,BDT,9 Thousand,"4 No Chandgaon Ward, Chattogram",Apartment,2,2,800 sqft, Call, Email,
Get This 950 Sq Ft Wonderful Flat In Kolpolok R/a Is Available For Rent,https://www.bproperty.com/en/property/details-5134645.html,,BDT,13 Thousand,"Block F, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,
"3 Bedroom Home Which Will Fulfill Your Desired Is Now Vacant For Rent In Al-Falah Housing Society, East Nasirabad.",https://www.bproperty.com/en/property/details-4278155.html,,BDT,20 Thousand,"Al-Falah Housing Society, East Nasirabad, Chattogram",Apartment,3,2,"1,200 sqft", Call, Email,
Flat for rent in South Khulsi near Radiant School and College,https://www.bproperty.com/en/property/details-1890194.html,,BDT,30 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email,
Tastefully Designed This 800 Sq Ft Flat Is Now Vacant For Rent In Bayazid,https://www.bproperty.com/en/property/details-5324267.html,,BDT,15 Thousand,"Paharika R/A, Raufabad Residential Area, Bayazid, Chattogram",Apartment,2,2,800 sqft, Call, Email,
"A nice residential flat of 1433 SQ FT, for rent, can be found in Bayazid",https://www.bproperty.com/en/property/details-4628576.html,,BDT,14 Thousand,"Koylar Ghar, Oxygen, Bayazid, Chattogram",Apartment,3,3,"1,433 sqft", Call, Email,
At 4 No Chandgaon Ward 1200 Square Feet -3 Bedroom Large Residential Apartment For Rent,https://www.bproperty.com/en/property/details-5330505.html,,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,2,"1,200 sqft", Call, Email,
"For Rental Purpose, 1200 Sq Ft Apartment Is Now Up To Rent In Chandgaon",https://www.bproperty.com/en/property/details-5330501.html,,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Residence For Rent In Kolpolok R/a Beside St Placid's School & College,https://www.bproperty.com/en/property/details-5134647.html,https://images-cdn.bproperty.com/thumbnails/1395405-400x300.jpeg,BDT,14 Thousand,"Block F, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
For Rental Purpose 1200 Sq Ft Apartment Is Now Up To Rent In 4 No Chandgaon Ward,https://www.bproperty.com/en/property/details-5330500.html,https://images-cdn.bproperty.com/thumbnails/1400451-400x300.jpeg,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Close To East Farider Para Jame Mashjid 1200 Sq. Ft Ready Apartment Is To Rent,https://www.bproperty.com/en/property/details-5330509.html,https://images-cdn.bproperty.com/thumbnails/1400576-400x300.jpeg,BDT,20 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"For Rental Purposes 950 Square Feet Flat Is Available In Kalamia Bazar, Bakalia",https://www.bproperty.com/en/property/details-2032443.html,https://images-cdn.bproperty.com/thumbnails/1411288-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"In Chandgaon Beside To Shabanghata Jame Moshzid , A Standard Flat Is For Rent",https://www.bproperty.com/en/property/details-5143491.html,https://images-cdn.bproperty.com/thumbnails/1173939-400x300.jpeg,BDT,9 Thousand,"4 No Chandgaon Ward, Chattogram",Apartment,2,2,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Ready 800 Sq Ft Beautifully Built Apartment Is Now To Rent In Bayazid,https://www.bproperty.com/en/property/details-5324276.html,https://images-cdn.bproperty.com/thumbnails/1425310-400x300.jpeg,BDT,15 Thousand,"Paharika R/A, Raufabad Residential Area, Bayazid, Chattogram",Apartment,2,2,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
950 Sq. Ft. Apartment Ready For Rent At Kalamia Bazar Near Moor Ali Baper Jame Masjid,https://www.bproperty.com/en/property/details-2032446.html,https://images-cdn.bproperty.com/thumbnails/1411405-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
